1:3,1,7,8,1,8,3,3,2,9,7,4,7,6,4,1,5,3,6,9,3,4,4,2,5,9,4,6,3,6
2:3,6,9,8,5,5,3,9,9,6,3,6,4,9,7,8,2,6,9,5,9,8,7,6,5,6,4,8,2,7
3:7,2,7,3,2,3,8,1,4,3,7,7,6,9,3,1,5,2,2,1,7,9,5,4,9,6,4,6,2,1
4:7,9,1,7,1,6,5,1,1,2,7,7,6,2,3,1,7,5,5,9,3,1,7,6,3,5,5,5,2,2
5:1,1,6,5,8,7,6,6,8,1,3,2,1,9,6,5,2,5,3,5,6,3,9,9,6,5,5,7,7,6
6:1,8,8,1,9,5,9,3,7,2,8,9,8,4,1,3,8,9,4,3,7,9,1,9,3,1,2,9,8,2
7:2,3,5,2,1,1,5,1,7,8,1,4,2,8,9,3,6,5,3,8,7,8,6,8,2,1,6,4,5,9
8:3,1,8,2,1,9,3,4,4,5,8,4,9,3,8,6,9,6,5,2,7,6,4,2,3,6,3,5,1,9
9:8,9,9,6,2,4,4,4,2,8,8,8,2,8,6,8,7,9,6,2,1,7,7,5,3,2,7,3,2,9
10:7,4,5,5,9,7,3,3,8,9,8,8,4,2,5,3,6,8,3,3,3,7,4,4,3,4,7,1,1,6
11:6,9,9,3,2,5,8,1,7,6,3,4,4,5,5,2,1,6,3,8,5,2,3,3,1,4,6,1,1,3
12:5,6,1,5,7,9,4,5,3,5,1,1,8,1,9,6,6,7,8,8,1,9,8,7,2,6,6,2,2,4
13:1,2,2,5,7,3,2,9,3,7,6,7,9,8,3,4,7,7,6,9,7,1,6,6,2,8,8,3,1,5
14:6,2,9,9,1,8,3,9,4,7,8,6,4,8,2,4,3,8,3,5,5,7,3,6,4,1,1,2,7,7
15:6,2,9,9,1,8,3,9,4,7,8,6,4,8,2,4,3,8,3,5,5,7,3,6,4,1,1,2,7,7
16:3,2,2,4,5,9,9,3,6,8,3,7,9,9,7,5,2,3,7,4,3,2,8,3,3,9,4,4,8,5
17:2,1,5,7,4,3,3,8,4,3,8,4,2,1,1,6,3,4,2,8,8,7,5,2,7,6,2,9,2,4
18:2,7,4,9,2,5,5,3,3,6,1,6,9,9,6,4,1,5,8,2,6,5,6,7,6,6,9,4,8,7
19:3,6,6,3,7,8,3,4,4,2,5,2,2,2,3,5,3,1,5,2,6,1,1,8,7,4,5,3,9,6
20:8,9,7,1,5,2,1,7,4,6,5,2,5,7,9,9,3,6,8,1,2,7,7,1,8,8,1,3,8,9
21:8,6,4,9,8,5,6,4,1,1,8,3,4,4,8,4,7,2,6,6,1,5,3,1,4,5,2,1,1,9
22:8,9,7,1,5,2,1,7,4,6,5,2,5,7,9,9,3,6,8,1,2,7,7,1,8,8,1,3,8,3
23:6,2,7,2,3,5,7,4,1,3,6,5,3,2,2,8,9,2,9,8,6,6,8,7,7,7,9,7,7,6
24:7,1,1,9,4,7,5,7,8,6,1,5,1,8,3,7,1,7,5,1,7,1,3,8,8,6,8,5,6,6
25:8,8,4,8,4,8,1,6,7,9,6,3,4,1,7,8,6,7,7,7,2,4,7,8,4,3,2,9,3,4
26:6,6,6,3,5,9,9,2,8,2,2,4,5,7,9,3,2,9,1,8,5,3,7,8,3,3,7,4,4,3
27:4,8,7,3,6,1,9,8,1,7,7,1,9,9,7,3,3,8,5,1,4,4,7,8,5,3,8,5,6,2
28:2,6,7,4,6,1,2,6,5,9,8,4,1,2,4,8,7,2,5,2,4,4,8,4,5,1,6,7,1,4
29:1,6,1,4,7,7,4,7,6,6,3,6,5,4,5,9,3,1,6,2,8,6,1,2,8,1,5,4,3,8
30:1,5,4,7,7,3,3,2,2,6,4,8,7,6,9,6,8,5,6,6,7,5,2,8,7,5,3,9,1,9
31:2,7,6,1,7,7,7,7,4,3,5,5,7,1,6,4,7,8,2,2,7,3,9,6,8,8,4,3,8,3
32:6,2,7,2,3,5,7,4,1,3,6,5,3,2,2,8,9,2,9,8,6,6,8,7,7,7,9,7,7,6
33:9,2,2,1,2,2,2,9,8,5,5,1,9,9,1,8,9,8,1,5,7,2,7,5,2,3,7,3,3,5
34:8,6,4,9,8,5,6,4,1,3,8,3,4,4,8,4,7,2,6,6,1,5,3,1,4,5,2,1,1,9
35:1,7,1,9,9,9,3,2,2,9,2,2,5,7,3,2,3,1,6,4,1,7,5,2,9,8,2,6,8,9
36:3,2,2,1,7,1,3,6,2,8,3,5,8,3,6,2,9,4,2,9,2,1,2,4,7,1,1,2,4,8
37:2,9,4,3,6,8,2,7,2,9,2,9,5,7,7,8,4,1,1,9,6,1,6,4,7,6,1,9,2,2
38:1,7,1,9,9,9,3,2,2,9,2,2,5,7,3,2,3,1,6,4,1,7,5,2,9,8,2,6,8,5
39:2,7,4,9,2,5,5,3,3,6,1,6,9,9,6,4,1,5,8,2,6,5,6,2,6,6,9,4,8,7
40:1,6,1,4,7,8,4,7,6,6,3,6,5,4,5,9,3,1,6,2,8,6,1,2,8,1,5,4,3,3
41:3,5,1,6,1,5,9,4,1,3,6,5,3,2,6,7,9,4,3,6,9,4,5,8,4,8,6,2,6,4
42:4,8,7,3,6,1,9,8,1,7,7,1,8,9,7,3,3,8,5,1,4,4,7,8,5,3,8,5,6,6
43:5,8,6,7,1,9,1,5,3,2,6,9,8,1,5,7,5,6,6,1,6,3,5,6,4,8,6,7,8,1
44:1,5,5,4,4,6,7,1,1,3,2,9,5,1,8,1,1,5,3,4,5,7,8,1,5,9,8,4,9,4
45:4,8,5,8,1,8,8,4,1,7,1,3,4,9,9,7,6,2,1,3,5,1,3,7,2,8,8,6,3,9
46:8,1,1,1,6,9,7,4,5,6,1,8,2,8,6,7,9,7,4,9,2,1,2,2,3,4,5,8,6,3
47:5,4,9,1,1,5,8,9,9,6,9,7,3,6,4,8,1,4,3,2,1,9,6,2,5,1,8,4,5,1
48:6,6,2,7,7,9,6,8,2,5,8,2,1,5,7,4,7,6,3,3,8,6,7,1,1,9,9,8,3,1
49:1,2,2,5,7,3,2,9,3,7,6,7,9,8,3,4,7,7,6,9,7,1,6,6,2,8,8,3,1,8
50:6,6,2,7,7,9,6,8,2,5,8,2,1,5,7,4,7,8,3,3,8,6,7,1,1,9,9,8,3,1
51:8,8,4,8,4,8,1,6,7,9,6,3,4,1,7,8,6,7,7,7,2,4,7,8,4,3,2,9,3,8
52:8,8,7,7,3,7,7,3,4,7,3,7,5,9,4,5,1,8,1,5,3,9,5,3,9,3,1,8,9,8
53:1,7,8,5,1,2,1,5,5,7,7,9,9,8,9,5,8,8,5,5,4,3,7,7,1,2,2,4,2,6
54:8,9,9,6,2,4,4,4,2,8,8,8,2,8,6,8,7,9,6,2,1,7,7,5,3,2,7,3,2,9
55:8,2,5,4,1,2,2,9,4,5,2,2,8,3,1,4,2,4,2,9,3,7,7,2,8,5,3,8,6,6
56:7,8,4,5,5,6,1,3,3,9,6,5,6,1,7,7,5,4,7,8,8,9,3,2,7,1,6,9,1,2
57:8,9,9,6,2,4,4,4,2,8,8,8,2,8,6,8,7,9,6,2,1,7,7,5,3,2,7,3,2,1
58:1,1,6,7,2,6,9,7,9,5,4,1,7,2,8,1,6,7,6,9,9,9,5,2,4,9,6,2,4,6
59:4,9,7,2,6,9,5,1,9,2,7,6,6,4,7,9,8,9,6,2,1,6,1,8,7,7,4,8,6,5
60:6,6,6,3,5,9,9,2,8,2,2,4,5,7,9,3,2,9,1,8,5,3,7,8,5,3,7,4,4,8
61:3,2,2,4,5,9,9,3,6,8,3,7,9,9,7,5,2,3,7,4,3,2,8,3,3,9,4,4,8,8
62:1,8,8,1,9,5,9,3,7,2,8,9,8,4,1,3,8,9,4,3,7,9,9,9,3,1,2,9,8,2
63:5,4,9,2,1,5,8,9,9,6,9,7,3,6,4,8,1,4,3,2,1,9,6,2,5,1,8,4,5,1
64:8,7,1,1,9,6,9,8,5,7,1,2,2,1,3,1,7,3,6,9,9,2,3,4,5,4,2,5,8,4
65:1,5,4,7,7,3,3,2,2,6,4,8,7,6,9,6,8,5,6,6,7,5,2,8,7,5,3,9,1,9
66:2,9,4,3,6,8,2,6,2,9,2,9,5,7,7,8,4,1,1,9,6,1,6,4,7,6,1,9,2,4
67:1,7,1,9,9,9,3,2,2,9,1,2,5,7,3,2,3,1,6,4,1,7,5,2,9,8,2,6,8,9
68:8,2,8,8,2,7,3,2,9,7,2,9,2,5,3,4,9,5,3,3,6,9,2,3,7,8,7,7,1,3
69:4,8,5,8,1,8,8,4,1,7,1,3,4,9,9,7,8,2,1,3,5,1,3,7,2,8,8,6,3,9
70:6,6,2,7,7,9,6,8,2,5,8,2,1,5,7,4,7,6,3,3,8,6,7,1,1,9,9,8,3,1
71:3,6,8,3,7,8,3,4,4,2,5,2,2,2,3,5,3,1,5,2,6,1,1,8,7,4,5,3,9,6
72:1,5,8,9,2,7,4,8,4,1,7,2,8,5,9,2,1,1,1,6,8,6,9,1,1,2,1,5,2,5
73:1,2,2,9,9,4,4,8,6,1,4,1,1,8,8,6,6,1,7,7,3,7,9,1,4,9,8,1,9,2
74:1,1,1,5,3,1,5,5,2,9,5,3,2,3,1,5,4,2,2,6,2,6,1,4,3,7,6,5,4,3
75:7,2,9,7,1,1,8,3,4,5,2,3,5,2,5,8,8,8,3,6,1,7,9,2,2,4,9,7,3,8
76:1,9,7,3,4,8,3,4,8,3,4,3,5,9,9,3,5,8,3,4,9,5,2,7,7,1,7,7,7,3
77:3,2,3,1,9,8,9,1,1,4,2,1,8,7,2,1,5,9,7,8,5,3,2,3,5,6,7,1,6,7
78:5,8,3,5,4,8,2,7,7,6,3,8,6,9,6,5,7,8,7,3,8,2,4,7,9,7,9,5,5,5
79:5,5,1,5,4,3,3,9,9,1,5,5,6,7,6,7,2,4,2,3,2,5,9,6,7,9,3,3,6,4
80:1,8,8,1,9,5,9,3,7,2,8,9,8,4,1,3,8,9,4,3,7,9,9,9,3,1,2,9,8,6
81:5,8,3,9,5,6,7,9,4,2,1,3,2,8,6,9,5,3,3,8,6,1,3,6,8,9,6,8,9,4
